Favorite Color,Favorite Music Genre,Favorite Beverage,Favorite Soft Drink,Gender
Cool,Rock,Vodka,7UP/Sprite,F
Neutral,Hip hop,Vodka,CocaCola,F
Warm,Rock,Wine,CocaCola,F
Warm,Folk/Traditional,Whiskey,Fanta,F
Cool,Rock,Vodka,CocaCola,F
Warm,Jazz/Blues,Doesn't drink,Fanta,F
Cool,Pop,Beer,CocaCola,F
Warm,Pop,Whiskey,Fanta,F
Warm,Rock,Other,7UP/Sprite,F
Neutral,Pop,Wine,CocaCola,F
Cool,Pop,Other,7UP/Sprite,F
Warm,Pop,Other,7UP/Sprite,F
Warm,Pop,Wine,7UP/Sprite,F
Warm,Electronic,Wine,CocaCola,F
Cool,Rock,Beer,CocaCola,F
Warm,Jazz/Blues,Wine,CocaCola,F
Cool,Pop,Wine,7UP/Sprite,F
Cool,Rock,Other,CocaCola,F
Cool,Rock,Other,CocaCola,F
Cool,Pop,Doesn't drink,7UP/Sprite,F
Cool,Pop,Beer,Fanta,F
Warm,Jazz/Blues,Whiskey,Fanta,F
Cool,Rock,Vodka,CocaCola,F
Warm,Pop,Other,CocaCola,F
Cool,Folk/Traditional,Whiskey,7UP/Sprite,F
Warm,R&B and soul,Whiskey,CocaCola,F
Cool,Pop,Beer,Other,F
Cool,Pop,Doesn't drink,Other,F
Cool,Pop,Doesn't drink,CocaCola,F
Cool,Electronic,Doesn't drink,Fanta,F
Warm,Rock,Other,CocaCola,F
Neutral,Rock,Beer,CocaCola,F
Cool,R&B and soul,Beer,CocaCola,F
Warm,R&B and soul,Wine,Other,M
Neutral,Hip hop,Beer,7UP/Sprite,M
Warm,Electronic,Other,CocaCola,M
Neutral,Rock,Doesn't drink,CocaCola,M
Cool,Pop,Other,Fanta,M
Cool,Pop,Whiskey,Fanta,M
Warm,Rock,Vodka,7UP/Sprite,M
Cool,Rock,Vodka,CocaCola,M
Neutral,Pop,Doesn't drink,7UP/Sprite,M
Warm,R&B and soul,Doesn't drink,CocaCola,M
Cool,Rock,Wine,7UP/Sprite,M
Cool,Folk/Traditional,Beer,Other,M
Cool,Hip hop,Beer,CocaCola,M
Cool,Hip hop,Wine,CocaCola,M
Cool,R&B and soul,Whiskey,7UP/Sprite,M
Cool,Rock,Doesn't drink,Other,M
Warm,Hip hop,Beer,CocaCola,M
Cool,R&B and soul,Doesn't drink,CocaCola,M
Cool,Rock,Doesn't drink,CocaCola,M
Cool,Hip hop,Doesn't drink,Other,M
Warm,Rock,Beer,Fanta,M
Cool,Electronic,Doesn't drink,Fanta,M
Cool,Electronic,Other,Fanta,M
Warm,Folk/Traditional,Other,Fanta,M
Warm,Electronic,Vodka,Fanta,M
Warm,Jazz/Blues,Vodka,CocaCola,M
Cool,Pop,Whiskey,Other,M
Cool,Electronic,Whiskey,CocaCola,M
Cool,Rock,Vodka,CocaCola,M
Cool,Hip hop,Beer,CocaCola,M
Neutral,Hip hop,Doesn't drink,Fanta,M
Cool,Rock,Wine,CocaCola,M
Cool,Electronic,Beer,CocaCola,M